"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    2012 Estimate","","26,059,203","49.7%","50.3%","7.4%","7.5%","7.5%","7.2%","7.4%","14.4%","13.7%","13.2%","5.8%","4.9%","6.3%","3.3%","1.3%","33.9","73.2%","68.7%","13.8%","10.9%","19,078,028","49.2%","50.8%","2,837,722","44.1%","55.9%","","26,059,203","97.6%","2.4%","97.6%","75.0%","11.9%","0.5%","0.1%","0.0%","0.0%","0.0%","4.0%","1.1%","0.7%","0.4%","0.1%","0.3%","0.9%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","6.1%","2.4%","0.5%","0.5%","0.4%","0.1%","","26,059,203","77.0%","12.7%","1.2%","4.6%","0.2%","6.7%","","26,059,203","38.2%","33.5%","0.5%","0.2%","3.9%","61.8%","44.3%","11.6%","0.2%","4.0%","0.1%","0.1%","1.5%","0.1%","1.4%","10,154,835"
"    2014 - 2012 Statistical Significance","","c","","","*","","*","*","","*","*","*","*","*","*","*","","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","","*","","","","","","*","*","","","","","","*","","","*","","","*","*","*","","*","","","c","*","*","","*","","*","","c","*","","*","","*","*","*","*","","*","","","*","","*","*"
"    2011 Estimate","","25,674,681","49.6%","50.4%","7.6%","7.7%","7.4%","7.4%","7.3%","14.3%","13.7%","13.4%","5.7%","4.9%","6.0%","3.3%","1.3%","33.7","72.9%","68.4%","13.4%","10.5%","18,716,999","49.1%","50.9%","2,707,825","43.8%","56.2%","","25,674,681","97.7%","2.3%","97.7%","74.6%","11.7%","0.5%","0.1%","0.0%","0.0%","0.0%","3.9%","1.0%","0.7%","0.4%","0.1%","0.3%","0.9%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","6.9%","2.3%","0.5%","0.5%","0.4%","0.1%","","25,674,681","76.5%","12.6%","1.2%","4.5%","0.2%","7.5%","","25,674,681","38.1%","33.4%","0.5%","0.2%","4.0%","61.9%","44.7%","11.5%","0.3%","3.8%","0.1%","0.1%","1.4%","0.1%","1.3%","10,099,242"
"    2014 - 2011 Statistical Significance","","c","","","*","*","","*","","*","*","*","*","*","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","","","","*","","*","*","","*","","","","*","","","","","","*","*","*","*","*","","","c","*","*","","*","","*","","c","*","","*","*","","*","*","*","*","*","","","*","","*","*"
"    2010 Estimate","","25,257,114","49.6%","50.4%","7.6%","7.7%","7.5%","7.5%","7.2%","14.3%","13.8%","13.6%","5.6%","4.7%","5.9%","3.3%","1.2%","33.6","72.7%","68.2%","13.1%","10.4%","18,369,567","49.0%","51.0%","2,618,943","43.6%","56.4%","","25,257,114","97.8%","2.2%","97.8%","74.1%","11.8%","0.5%","0.1%","0.0%","0.0%","0.0%","3.8%","1.0%","0.6%","0.4%","0.1%","0.3%","0.9%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","7.5%","2.2%","0.5%","0.4%","0.3%","0.1%","","25,257,114","76.0%","12.5%","1.1%","4.4%","0.2%","8.2%","","25,257,114","37.7%","33.2%","0.5%","0.2%","3.8%","62.3%","45.2%","11.5%","0.3%","3.8%","0.1%","0.1%","1.3%","0.1%","1.2%","9,996,209"
"    2014 - 2010 Statistical Significance","","c","","","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","*","*","","","","*","*","*","*","","","","*","","","*","","*","*","*","*","*","*","","","c","*","*","*","*","*","*","","c","*","*","*","*","*","*","*","*","*","*","","","*","","*","*"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","2,942,902","50.3%","49.7%","8.5%","8.8%","8.7%","7.7%","8.4%","14.8%","13.2%","10.5%","5.0%","4.5%","5.9%","3.0%","1.1%","30.5","69.2%","64.9%","12.7%","10.0%","2,037,353","49.7%","50.3%","294,979","45.9%","54.1%","","2,942,902","97.3%","2.7%","97.3%","87.3%","1.1%","1.1%","0.0%","0.0%","0.6%","0.0%","2.2%","0.3%","0.5%","0.2%","0.2%","0.1%","0.4%","0.6%","0.9%","0.1%","0.0%","0.3%","0.5%","4.7%","2.7%","0.4%","0.5%","0.7%","0.0%","","2,942,902","89.7%","1.6%","1.8%","3.2%","1.4%","5.2%","","2,942,902","13.5%","10.1%","0.2%","0.1%","3.1%","86.5%","79.2%","1.1%","1.0%","2.2%","0.8%","0.2%","2.0%","0.0%","2.0%","1,022,593"
"    2013 Estimate","","2,900,872","50.3%","49.7%","8.7%","8.8%","8.6%","7.8%","8.4%","15.2%","12.9%","10.5%","5.0%","4.3%","5.6%","2.9%","1.2%","30.2","69.1%","64.5%","12.2%","9.7%","2,004,041","49.8%","50.2%","282,680","45.9%","54.1%","","2,900,872","97.6%","2.4%","97.6%","87.4%","1.1%","1.1%","0.0%","0.0%","0.5%","0.0%","2.2%","0.3%","0.5%","0.2%","0.2%","0.2%","0.3%","0.5%","0.9%","0.1%","0.0%","0.3%","0.5%","4.8%","2.4%","0.4%","0.4%","0.7%","0.0%","","2,900,872","89.6%","1.6%","1.6%","3.1%","1.4%","5.4%","","2,900,872","13.4%","9.9%","0.3%","0.1%","3.1%","86.6%","79.5%","1.0%","1.1%","2.1%","0.9%","0.2%","1.7%","0.0%","1.7%","1,006,164"
"    2014 - 2013 Statistical Significance","","c","","","*","","","","","*","*","","","","*","","","*","*","*","*","*","*","","","*","","","","c","","","","","","","","","","*","","","","","","*","","","","","","","","","","","*","","*","","c","","","*","","","","","c","*","","","","","*","*","","","","","","*","","*","*"
"    2012 Estimate","","2,855,287","50.3%","49.7%","9.0%","8.8%","8.5%","7.8%","8.3%","15.6%","12.5%","10.8%","5.1%","4.0%","5.4%","3.0%","1.1%","29.9","68.9%","64.2%","11.8%","9.5%","1,968,099","49.8%","50.2%","271,882","45.7%","54.3%","","2,855,287","97.6%","2.4%","97.6%","88.1%","1.1%","1.1%","0.0%","0.0%","0.6%","0.0%","2.2%","0.3%","0.4%","0.2%","0.3%","0.2%","0.3%","0.5%","0.9%","0.1%","0.0%","0.2%","0.5%","4.2%","2.4%","0.4%","0.5%","0.6%","0.0%","","2,855,287","90.4%","1.6%","1.7%","3.0%","1.4%","4.6%","","2,855,287","13.3%","9.6%","0.2%","0.1%","3.3%","86.7%","79.8%","1.0%","0.9%","2.2%","0.9%","0.1%","1.9%","0.1%","1.8%","996,777"
"    2014 - 2012 Statistical Significance","","c","","","*","","","","","*","*","*","","*","*","","","*","*","*","*","*","*","","","*","","","","c","","","","*","","","","","","*","","","","","","*","","","","*","","","","*","","","","","","","c","*","","","*","","*","","c","*","*","","","","*","*","","*","","","","","*","","*"
"    2011 Estimate","","2,817,222","50.3%","49.7%","9.3%","8.9%","8.4%","7.9%","8.3%","15.7%","12.3%","10.8%","5.0%","4.1%","5.1%","2.9%","1.2%","29.6","68.7%","63.9%","11.6%","9.2%","1,936,143","49.8%","50.2%","258,324","45.7%","54.3%","","2,817,222","97.5%","2.5%","97.5%","88.3%","1.2%","1.1%","0.1%","0.0%","0.6%","0.0%","2.0%","0.2%","0.4%","0.2%","0.3%","0.2%","0.3%","0.4%","1.0%","0.1%","0.0%","0.3%","0.5%","4.0%","2.5%","0.3%","0.4%","0.6%","0.1%","","2,817,222","90.4%","1.7%","1.8%","2.9%","1.4%","4.5%","","2,817,222","13.2%","9.8%","0.2%","0.1%","3.2%","86.8%","79.9%","1.0%","1.0%","2.0%","0.9%","0.1%","1.8%","0.1%","1.7%","993,125"
"    2014 - 2011 Statistical Significance","","c","","","*","","","*","","*","*","*","","*","*","*","","*","*","*","*","*","*","","","*","","","","c","","","","*","","","","","","*","*","","*","","*","*","","","","","","","","*","","","","","","","c","*","","","*","","*","","c","*","","","","","*","*","","","*","","","","*","*","*"
"    2010 Estimate","","2,776,469","50.3%","49.7%","9.5%","9.0%","8.3%","8.0%","8.1%","16.2%","12.0%","11.2%","4.8%","3.9%","5.0%","2.9%","1.1%","29.2","68.5%","63.6%","11.3%","9.0%","1,902,793","49.7%","50.3%","250,800","45.3%","54.7%","","2,776,469","97.6%","2.4%","97.6%","88.8%","1.0%","1.2%","0.0%","0.0%","0.7%","0.0%","1.9%","0.2%","0.4%","0.1%","0.2%","0.2%","0.2%","0.4%","0.9%","0.1%","0.0%","0.4%","0.4%","3.7%","2.4%","0.3%","0.4%","0.7%","0.0%","","2,776,469","91.0%","1.4%","1.8%","2.7%","1.4%","4.2%","","2,776,469","13.0%","10.1%","0.3%","0.1%","2.6%","87.0%","80.3%","1.0%","1.1%","1.9%","0.9%","0.1%","1.8%","0.0%","1.7%","981,821"
"    2014 - 2010 Statistical Significance","","c","","","*","","*","*","*","*","*","*","","*","*","*","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","","*","","","","","*","","","*","","*","","*","","","","","","*","","","","","","","c","*","*","","*","","*","","c","*","","","","*","*","*","*","","*","","","","","*","*"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","626,562","49.2%","50.8%","4.9%","5.4%","5.3%","6.9%","7.4%","11.6%","11.5%","14.4%","8.3%","7.1%","10.0%","4.9%","2.1%","42.8","80.6%","75.9%","21.0%","17.0%","504,752","48.6%","51.4%","106,655","45.9%","54.1%","","626,562","97.9%","2.1%","97.9%","94.5%","1.0%","0.4%","N","N","N","N","1.6%","0.5%","0.3%","0.1%","0.1%","0.1%","0.1%","0.5%","0.1%","N","N","N","N","0.5%","2.1%","0.3%","1.0%","0.4%","0.0%","","626,562","96.4%","1.5%","1.5%","2.0%","0.3%","0.5%","","626,562","1.7%","0.5%","0.5%","0.1%","0.6%","98.3%","93.2%","0.9%","0.4%","1.6%","0.1%","0.2%","1.9%","0.0%","1.9%","325,774"
"    2013 Estimate","","626,630","49.3%","50.7%","4.8%","5.7%","5.5%","7.0%","7.3%","11.2%","11.6%","15.2%","7.8%","7.4%","9.6%","4.8%","2.1%","42.5","80.2%","75.4%","20.6%","16.4%","502,500","48.7%","51.3%","102,658","45.5%","54.5%","","626,630","97.9%","2.1%","97.9%","95.0%","1.1%","0.3%","N","N","N","N","1.2%","0.2%","0.3%","0.2%","0.0%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","0.3%","2.1%","0.5%","0.8%","0.5%","0.0%","","626,630","97.0%","1.8%","1.2%","1.8%","0.1%","0.4%","","626,630","1.5%","0.5%","0.3%","0.0%","0.6%","98.5%","94.0%","1.1%","0.3%","1.2%","0.0%","0.0%","1.9%","0.0%","1.9%","323,936"
"    2014 - 2013 Statistical Significance","","c","","","","","","","","*","","*","","","*","","","","*","*","*","*","*","","","*","","","","c","","","","*","","","","","","","*","*","","","","","","","","","","","","*","","*","","","","","c","*","*","","*","*","","","c","*","","*","","","*","*","","","*","","*","","","","*"
"    2012 Estimate","","626,011","49.4%","50.6%","5.0%","5.3%","5.9%","7.2%","7.2%","11.2%","11.7%","15.6%","8.2%","7.0%","8.9%","4.6%","2.2%","42.4","80.2%","75.0%","19.9%","15.7%","502,122","48.8%","51.2%","98,489","45.0%","55.0%","","626,011","98.0%","2.0%","98.0%","95.1%","1.0%","0.3%","N","N","N","N","1.3%","0.1%","0.3%","0.1%","0.1%","0.2%","0.1%","0.5%","0.0%","N","N","N","N","0.2%","2.0%","0.5%","0.8%","0.4%","0.0%","","626,011","97.0%","1.6%","1.3%","1.8%","0.0%","0.4%","","626,011","1.6%","0.4%","0.4%","0.1%","0.7%","98.4%","94.0%","1.0%","0.3%","1.3%","0.0%","0.0%","1.8%","0.0%","1.8%","324,052"
"    2014 - 2012 Statistical Significance","","c","","","","","*","*","","*","*","*","","","*","","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","","","","","","","*","*","","","","","","","","","","","","*","","","","","","","c","*","","","*","*","","","c","*","","","","","*","*","","","*","","*","","","","*"
"    2011 Estimate","","626,431","49.2%","50.8%","4.9%","5.2%","6.1%","7.2%","7.2%","11.2%","12.4%","15.9%","8.1%","6.9%","8.3%","4.8%","1.9%","42.0","79.9%","74.7%","19.1%","14.9%","500,510","48.8%","51.2%","93,641","44.7%","55.3%","","626,431","97.8%","2.2%","97.8%","95.2%","0.8%","0.3%","N","N","N","N","1.2%","0.1%","0.3%","0.1%","0.0%","0.2%","0.3%","0.2%","0.0%","N","N","N","N","0.2%","2.2%","0.5%","0.8%","0.6%","0.0%","","626,431","97.3%","1.5%","1.3%","1.8%","0.1%","0.3%","","626,431","1.5%","0.3%","0.5%","0.1%","0.5%","98.5%","94.0%","0.8%","0.3%","1.2%","0.0%","0.1%","2.1%","0.1%","2.0%","324,385"
"    2014 - 2011 Statistical Significance","","c","","","","","*","","","*","*","*","","","*","","*","*","*","*","*","*","*","","","*","*","*","","c","","","","*","","","","","","","*","*","","","","*","*","","","","","","","*","","","","*","","","c","*","","","","*","","","c","*","*","","","","*","*","","","*","","*","","*","","*"
"    2010 Estimate","","625,960","49.2%","50.8%","5.2%","5.2%","6.4%","7.2%","7.2%","11.1%","12.4%","16.2%","8.1%","6.5%","7.9%","4.5%","2.1%","41.5","79.3%","74.2%","18.3%","14.6%","496,299","48.6%","51.4%","91,231","44.3%","55.7%","","625,960","98.4%","1.6%","98.4%","95.4%","1.0%","0.2%","N","N","N","N","1.2%","0.1%","0.3%","0.0%","0.1%","0.1%","0.3%","0.3%","0.0%","N","N","N","N","0.4%","1.6%","0.5%","0.6%","0.4%","0.0%","","625,960","97.0%","1.6%","0.9%","1.7%","0.1%","0.4%","","625,960","1.5%","0.6%","0.3%","0.2%","0.6%","98.5%","94.3%","1.0%","0.2%","1.2%","0.0%","0.1%","1.5%","0.0%","1.5%","322,698"
"    2014 - 2010 Statistical Significance","","c","","","*","","*","*","","*","*","*","","*","*","*","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","","*","","","","","*","*","","","","","*","","","","","","","","","","*","","","","c","*","","*","*","*","","","c","*","","*","","","*","*","","","*","","","","","","*"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","8,326,289","49.2%","50.8%","6.1%","6.3%","6.3%","6.7%","7.1%","14.0%","13.2%","14.1%","6.6%","5.9%","8.2%","3.9%","1.7%","37.7","77.6%","73.2%","17.1%","13.8%","6,458,752","48.6%","51.4%","1,146,846","43.8%","56.2%","","8,326,289","96.7%","3.3%","96.7%","68.9%","19.2%","0.3%","0.1%","0.0%","0.0%","0.0%","6.1%","1.6%","0.9%","0.9%","0.2%","0.8%","0.7%","1.1%","0.1%","0.0%","0.0%","0.0%","0.0%","2.1%","3.3%","1.1%","0.4%","0.9%","0.2%","","8,326,289","71.7%","20.9%","0.9%","7.4%","0.2%","2.5%","","8,326,289","8.8%","1.9%","1.1%","0.3%","5.5%","91.2%","63.0%","18.9%","0.2%","6.1%","0.1%","0.2%","2.8%","0.1%","2.7%","3,446,585"
"    2013 Estimate","","8,260,405","49.2%","50.8%","6.2%","6.3%","6.3%","6.7%","7.2%","14.0%","13.3%","14.3%","6.7%","5.7%","7.9%","3.9%","1.6%","37.6","77.4%","73.1%","16.7%","13.4%","6,396,074","48.6%","51.4%","1,104,809","43.9%","56.1%","","8,260,405","96.7%","3.3%","96.7%","69.3%","19.3%","0.2%","0.0%","0.0%","0.0%","0.0%","5.9%","1.3%","0.8%","0.9%","0.1%","0.8%","0.7%","1.1%","0.1%","0.0%","0.0%","0.0%","0.0%","2.0%","3.3%","1.1%","0.4%","0.9%","0.1%","","8,260,405","72.1%","20.9%","0.9%","7.1%","0.2%","2.3%","","8,260,405","8.6%","2.2%","1.0%","0.3%","5.1%","91.4%","63.5%","18.9%","0.2%","5.8%","0.1%","0.2%","2.7%","0.1%","2.7%","3,412,577"
"    2014 - 2013 Statistical Significance","","c","","","*","","","","","","","*","","*","*","","","","*","","*","*","*","","","*","","","","c","","","","*","","","*","","","","*","*","","","","","","","","*","*","*","","","","","","","","","c","*","","","*","","","","c","*","*","","","*","*","*","","","*","","","","","","*"
"    2012 Estimate","","8,185,867","49.0%","51.0%","6.2%","6.3%","6.4%","6.8%","7.1%","13.9%","13.5%","14.6%","6.5%","5.8%","7.6%","3.8%","1.6%","37.5","77.3%","72.9%","16.3%","13.0%","6,331,235","48.5%","51.5%","1,062,133","43.5%","56.5%","","8,185,867","96.8%","3.2%","96.8%","69.2%","19.3%","0.3%","0.1%","0.0%","0.0%","0.0%","5.7%","1.3%","0.8%","0.9%","0.1%","0.8%","0.7%","1.1%","0.1%","0.0%","0.0%","0.0%","0.0%","2.3%","3.2%","0.9%","0.4%","0.8%","0.2%","","8,185,867","71.8%","20.8%","1.1%","6.9%","0.2%","2.7%","","8,185,867","8.4%","2.1%","1.1%","0.2%","5.0%","91.6%","63.9%","18.9%","0.2%","5.7%","0.1%","0.2%","2.6%","0.1%","2.5%","3,398,389"
"    2014 - 2012 Statistical Significance","","c","*","*","*","","","","","","*","*","*","","*","*","*","","*","*","*","*","*","*","*","*","*","*","","c","","","","","","","","","*","","*","*","","","*","","","","","","","*","*","","","*","","","","","c","","","*","*","","*","","c","*","*","","*","*","*","*","","","*","","*","","","","*"
"    2011 Estimate","","8,096,604","49.1%","50.9%","6.3%","6.4%","6.4%","6.8%","7.2%","13.6%","13.7%","14.9%","6.4%","5.9%","7.1%","3.8%","1.6%","37.6","77.1%","72.6%","15.9%","12.5%","6,243,511","48.5%","51.5%","1,010,335","43.3%","56.7%","","8,096,604","97.0%","3.0%","97.0%","69.4%","19.5%","0.3%","0.0%","0.0%","0.0%","0.0%","5.6%","1.4%","0.7%","0.8%","0.1%","1.0%","0.7%","0.9%","0.1%","0.0%","0.0%","0.0%","0.0%","2.1%","3.0%","0.9%","0.3%","0.8%","0.1%","","8,096,604","71.9%","21.0%","1.0%","6.7%","0.2%","2.6%","","8,096,604","8.0%","2.0%","1.0%","0.2%","4.9%","92.0%","64.3%","19.2%","0.2%","5.6%","0.1%","0.2%","2.4%","0.1%","2.3%","3,387,801"
"    2014 - 2011 Statistical Significance","","c","","","*","","","*","","*","*","*","*","","*","*","*","","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","","","","","","*","*","*","","","*","","*","","","","*","","","*","","*","*","","","c","","","","*","","","","c","*","","*","*","*","*","*","*","","*","","","*","","*","*"
"    2010 Estimate","","8,024,617","49.1%","50.9%","6.3%","6.3%","6.5%","7.0%","7.0%","13.5%","14.0%","15.1%","6.3%","5.7%","6.9%","3.8%","1.5%","37.5","76.9%","72.2%","15.5%","12.2%","6,170,996","48.4%","51.6%","980,275","43.2%","56.8%","","8,024,617","97.3%","2.7%","97.3%","69.5%","19.6%","0.3%","0.1%","0.0%","0.0%","0.0%","5.5%","1.3%","0.8%","0.8%","0.1%","0.9%","0.7%","0.9%","0.1%","0.0%","0.0%","0.0%","0.0%","2.4%","2.7%","0.8%","0.3%","0.7%","0.1%","","8,024,617","71.7%","20.8%","0.9%","6.5%","0.3%","2.8%","","8,024,617","7.9%","2.0%","0.9%","0.2%","4.7%","92.1%","64.7%","19.2%","0.2%","5.4%","0.1%","0.2%","2.3%","0.1%","2.2%","3,368,674"
"    2014 - 2010 Statistical Significance","","c","","","*","","*","*","","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","","","*","","","*","*","","","","","","*","","*","","*","","*","*","*","*","*","","","c","","","","*","*","*","","c","*","","*","","*","*","*","*","","*","","","*","","*","*"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","7,061,530","50.0%","50.0%","6.3%","6.4%","6.3%","6.2%","7.0%","14.3%","13.1%","13.4%","6.8%","6.1%","8.4%","3.8%","1.8%","37.5","77.3%","73.4%","17.6%","14.1%","5,458,877","49.6%","50.4%","992,516","45.4%","54.6%","","7,061,530","94.6%","5.4%","94.6%","77.7%","3.6%","1.4%","0.1%","0.0%","0.0%","0.0%","7.8%","1.3%","1.6%","1.3%","0.5%","0.9%","1.1%","1.2%","0.6%","0.1%","0.1%","0.2%","0.2%","3.5%","5.4%","1.1%","1.1%","1.5%","0.1%","","7,061,530","82.5%","5.3%","3.1%","10.0%","1.1%","4.1%","","7,061,530","12.2%","9.8%","0.5%","0.1%","1.7%","87.8%","70.3%","3.4%","1.1%","7.8%","0.6%","0.1%","4.5%","0.1%","4.4%","2,963,293"
"    2013 Estimate","","6,971,406","49.9%","50.1%","6.3%","6.4%","6.4%","6.3%","7.1%","14.2%","13.2%","13.6%","6.8%","6.1%","8.0%","3.9%","1.8%","37.4","77.1%","73.0%","17.1%","13.6%","5,375,222","49.6%","50.4%","950,766","45.2%","54.8%","","6,971,406","95.1%","4.9%","95.1%","78.0%","3.7%","1.4%","0.0%","0.1%","0.0%","0.0%","7.7%","1.2%","1.5%","1.2%","0.6%","1.0%","1.1%","1.1%","0.6%","0.1%","0.2%","0.2%","0.2%","3.7%","4.9%","0.8%","1.2%","1.4%","0.1%","","6,971,406","82.4%","5.1%","3.0%","9.7%","1.1%","4.1%","","6,971,406","11.9%","9.8%","0.4%","0.1%","1.6%","88.1%","70.9%","3.6%","1.2%","7.6%","0.6%","0.1%","4.1%","0.1%","4.1%","2,928,300"
"    2014 - 2013 Statistical Significance","","c","*","*","*","","","","","*","*","*","","","*","","","","*","*","*","*","*","*","*","*","","","","c","*","*","*","*","*","","","*","","","*","","","","","","","","","","","","","","*","*","","","","","c","","*","","*","","","","c","*","","","","","*","*","","","*","","","*","","*","*"
"    2012 Estimate","","6,897,012","49.9%","50.1%","6.4%","6.2%","6.5%","6.5%","7.0%","14.1%","13.3%","14.0%","6.7%","6.1%","7.6%","3.8%","1.7%","37.5","77.0%","73.0%","16.7%","13.2%","5,311,983","49.5%","50.5%","907,618","45.2%","54.8%","","6,897,012","95.0%","5.0%","95.0%","78.3%","3.6%","1.4%","0.1%","0.0%","0.0%","0.0%","7.4%","1.0%","1.6%","1.4%","0.6%","0.8%","1.0%","1.0%","0.6%","0.1%","0.1%","0.2%","0.2%","3.7%","5.0%","0.8%","1.2%","1.4%","0.1%","","6,897,012","82.7%","5.0%","3.0%","9.5%","1.2%","4.3%","","6,897,012","11.7%","9.4%","0.4%","0.1%","1.8%","88.3%","71.4%","3.5%","1.2%","7.3%","0.6%","0.1%","4.1%","0.1%","4.1%","2,914,775"
"    2014 - 2012 Statistical Significance","","c","*","*","*","*","*","*","","*","*","*","","","*","","*","","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","","","","","","","*","*","","","","","","*","","","","","","","*","*","","*","","","c","","*","","*","","","","c","c","*","","","","c","*","","*","*","*","","*","","*","*"
